customer_id,company_name,industry,region,segment,signup_date,product_primary,tier,channel,seats_committed,seats_active_90d,utilization_rate_90d,feature_adoption_rate,support_tickets_90d,major_incidents_180d,failed_payments_180d,discount_pct,mrr_usd,contract_start,contract_end,contract_term_months,customer_tenure_months,renewal_window_flag,churn,churn_probability_percent,services_used_count,feedback
37,"Meyer, Bailey and Arnold",Manufacturing,SW,SMB,2024-11-04,IAM,Pro,Direct,54,25,0.472,0.367,2,0,0,0.087,722.77,2025-01-26,2026-01-26,12,7,0,1,53,6,"Mixed experience so far; some teams see value, others struggle. Pain points: limited feature value."
38,Reyes PLC,Healthcare,SE,SMB,2025-07-10,EmailSecurity,Standard,Direct,9,1,0.055,0.495,1,0,0,0.115,47.07,2025-08-20,2027-08-20,24,0,0,0,6,4,The product delivers value; planning to expand usage.
39,Davis-Barnes,Retail,NE,SMB,2024-12-24,SASE,Enterprise,Partner,40,14,0.348,0.746,3,1,0,0.158,873.66,2025-03-11,2028-03-09,36,6,0,0,1,6,The product delivers value; planning to expand usage.
40,"Holmes, Barber and Buchanan",Healthcare,NE,SMB,2024-01-12,SIEM,Pro,Partner,41,2,0.05,0.349,1,0,0,0.202,587.29,2024-02-06,2025-02-05,12,19,0,0,12,4,Support and product quality have been solid.
41,Sheppard and Sons,Finance,SE,Mid-Market,2024-10-06,SASE,Pro,Partner,190,136,0.715,0.061,3,0,0,0.154,3200.33,2024-12-16,2025-12-16,12,9,0,0,1,7,The product delivers value; planning to expand usage.
42,"Burns, King and Chapman",Technology,MW,SMB,2025-06-19,DLP,Standard,Direct,34,16,0.456,0.654,3,0,0,0.103,281.19,2025-08-17,2027-08-17,24,1,0,0,1,6,Support and product quality have been solid.
43,Armstrong-Lee,Finance,SW,SMB,2025-06-07,SOAR,Standard,Direct,92,52,0.566,0.403,0,1,0,0.13,1498.35,2025-06-27,2027-06-27,24,2,0,1,42,6,We need better outcomes to justify renewal.
44,Petersen LLC,Retail,SE,SMB,2025-01-19,SOAR,Pro,Direct,10,6,0.617,0.709,1,2,0,0.076,231.55,2025-03-14,2026-03-14,12,6,0,0,1,7,Support and product quality have been solid.
45,Stewart-Blackwell,Education,SW,Mid-Market,2024-01-12,SIEM,Standard,Direct,711,483,0.679,0.264,4,0,0,0.074,8269.33,2024-01-17,2025-01-16,12,6,0,0,1,7,Great experience so far; features are meeting our needs.
46,"Lewis, Rollins and Jackson",Finance,West,SMB,2025-09-07,IAM,Pro,Direct,40,30,0.739,0.197,5,1,0,0.148,536.76,2025-08-20,2026-08-20,12,0,0,1,46,6,"Mixed experience so far; some teams see value, others struggle. Pain points: limited feature value."
47,Garcia and Sons,Technology,NE,SMB,2024-10-04,DLP,Pro,Direct,11,6,0.506,0.496,1,1,0,0.149,127.31,2024-12-03,2026-12-03,24,9,0,0,1,7,The product delivers value; planning to expand usage.
48,Davis PLC,Government,NE,SMB,2025-03-23,MDR,Pro,Direct,46,28,0.61,0.327,2,2,0,0.141,1235.6,2025-06-01,2026-06-01,12,3,0,0,4,6,Great experience so far; features are meeting our needs.
49,Palmer Inc,Technology,SE,Mid-Market,2025-09-11,XDR,Standard,Partner,182,118,0.647,0.564,2,0,0,0.205,2339.64,2025-08-20,2027-08-20,24,0,0,0,1,8,Support and product quality have been solid.
50,"Henderson, Luna and Miller",Technology,West,Mid-Market,2024-09-28,IAM,Enterprise,Partner,108,22,0.202,0.025,8,0,0,0.232,1852.97,2024-11-07,2025-11-07,12,10,0,0,34,5,Happy with the service; adoption is growing.
51,"Robertson, Green and Jones",Technology,SE,Mid-Market,2024-09-01,WAF,Pro,Partner,236,146,0.617,0.828,4,0,1,0.179,2896.65,2024-11-10,2026-11-10,24,6,0,0,1,10,Happy with the service; adoption is growing.
52,"Young, Owens and Dennis",Education,SE,Mid-Market,2024-06-01,MDR,Pro,Direct,267,90,0.338,0.773,1,0,0,0.109,7079.81,2024-07-31,2025-07-31,12,6,1,0,1,8,Great experience so far; features are meeting our needs.
53,"Webster, Montoya and Bowen",Retail,NE,Mid-Market,2024-04-21,EDR,Pro,Online,703,430,0.611,0.767,2,0,1,0.112,7285.16,2024-07-10,2025-07-10,12,14,0,0,1,8,Great experience so far; features are meeting our needs.
54,Diaz-Phelps,Manufacturing,SE,Mid-Market,2023-10-28,EmailSecurity,Enterprise,Direct,243,109,0.447,0.81,0,0,0,0.134,2293.77,2024-01-16,2026-01-15,24,18,0,0,1,8,Great experience so far; features are meeting our needs.
55,Nguyen Inc,Retail,MW,Mid-Market,2025-09-08,SIEM,Pro,Partner,387,170,0.439,0.512,3,0,1,0.232,5058.62,2025-08-20,2026-08-20,12,0,0,0,1,7,Happy with the service; adoption is growing.
56,"Barnett, Barnes and Davis",Finance,SW,SMB,2024-10-07,WAF,Pro,Partner,90,43,0.474,0.606,5,0,0,0.177,1025.13,2024-11-29,2025-11-29,12,9,0,0,7,8,Happy with the service; adoption is growing.
57,Hess-Roberts,Technology,West,SMB,2024-04-18,EDR,Standard,Partner,17,10,0.573,0.125,3,0,0,0.192,119.78,2024-06-29,2025-06-29,12,12,0,0,8,4,Great experience so far; features are meeting our needs.
58,Page Inc,Government,NE,SMB,2023-10-01,SIEM,Pro,Direct,42,7,0.17,0.325,2,0,1,0.079,685.06,2023-10-09,2024-10-08,12,12,0,0,18,4,The product delivers value; planning to expand usage.
59,Richardson Ltd,Manufacturing,SE,SMB,2025-08-06,DLP,Pro,Online,18,11,0.631,0.539,2,0,0,0.019,233.44,2025-08-20,2026-08-20,12,0,0,0,1,7,The product delivers value; planning to expand usage.
60,Murphy LLC,Manufacturing,MW,Enterprise,2025-01-31,SIEM,Pro,Direct,2564,1925,0.751,0.581,2,0,0,0.157,35318.13,2025-01-31,2026-01-31,12,6,0,1,31,10,Happy with the service; adoption is growing.
61,"Barker, Orozco and Moreno",Media,SW,Mid-Market,2023-12-27,SIEM,Enterprise,Partner,469,118,0.252,0.52,4,0,0,0.217,8229.56,2024-02-25,2025-02-24,12,12,0,0,2,6,The product delivers value; planning to expand usage.
62,Delgado and Sons,Media,SE,SMB,2025-01-16,EmailSecurity,Standard,Partner,16,11,0.681,0.347,2,0,0,0.114,83.21,2025-04-14,2027-04-14,24,5,0,0,1,6,Happy with the service; adoption is growing.
63,"Peters, Simmons and Martinez",Finance,West,Enterprise,2024-03-22,SIEM,Standard,Partner,2877,2018,0.701,0.721,2,1,0,0.208,28026.58,2024-04-23,2026-04-23,24,16,0,0,1,10,The product delivers value; planning to expand usage. Usage and adoption are strong across teams.
64,"Holden, Schroeder and Neal",Healthcare,West,Mid-Market,2025-01-18,EDR,Pro,Direct,237,174,0.734,0.528,2,0,1,0.143,2165.14,2025-04-07,2026-04-07,12,5,0,0,1,8,Happy with the service; adoption is growing.
65,"Richmond, Fox and Sanchez",Retail,West,Mid-Market,2025-01-27,XDR,Standard,Partner,94,56,0.597,0.42,3,0,0,0.244,1243.62,2025-04-14,2026-04-14,12,5,0,1,42,7,"Several pain points remain, but we’re open to improvements."
66,"Blackburn, Goodman and Mcpherson",Finance,NE,SMB,2025-04-13,IAM,Enterprise,Partner,52,46,0.891,0.366,2,0,0,0.168,922.82,2025-04-27,2026-04-27,12,4,0,0,1,8,The product delivers value; planning to expand usage.
67,Galloway-Payne,Finance,SE,Mid-Market,2025-03-22,WAF,Pro,Direct,103,66,0.636,0.925,0,0,0,0.091,1321.08,2025-04-25,2027-04-25,24,4,0,0,1,10,Great experience so far; features are meeting our needs.
68,Lee Inc,Healthcare,West,SMB,2024-05-03,EmailSecurity,Standard,Direct,86,58,0.671,0.32,2,1,0,0.083,493.68,2024-07-18,2025-07-18,12,14,0,1,45,6,We need better outcomes to justify renewal. Pain points: limited feature value.
69,Chase Ltd,Retail,West,Mid-Market,2024-06-02,EmailSecurity,Pro,Direct,273,242,0.886,0.508,2,0,1,0.137,1924.84,2024-08-15,2025-08-15,12,13,1,0,1,9,Great experience so far; features are meeting our needs.
70,"Murphy, Burns and Aguilar",Finance,MW,Mid-Market,2024-12-02,SASE,Standard,Partner,198,92,0.464,0.518,1,0,0,0.226,2231.35,2025-01-28,2026-01-28,12,7,0,0,1,7,Happy with the service; adoption is growing.
71,Bennett PLC,Energy,West,Mid-Market,2025-01-11,EDR,Standard,Direct,403,304,0.755,0.464,4,0,0,0.126,2743.81,2025-01-16,2026-01-16,12,8,0,1,43,9,Results are inconsistent across teams; need clearer ROI.
72,Lopez Inc,Energy,SE,Mid-Market,2024-12-03,WAF,Pro,Partner,160,86,0.539,0.455,2,1,0,0.202,1851.36,2025-02-11,2026-02-11,12,7,0,0,1,8,Support and product quality have been solid.
73,"White, Bell and David",Technology,SW,SMB,2025-03-27,SOAR,Standard,Direct,31,30,0.962,0.43,4,0,1,0.147,491.58,2025-04-21,2027-04-21,24,4,0,0,1,8,The product delivers value; planning to expand usage.
74,"Henderson, Harris and White",Education,SE,Mid-Market,2024-04-04,SASE,Standard,Direct,258,150,0.581,0.487,4,0,1,0.193,2941.95,2024-05-06,2025-05-06,12,16,0,1,58,8,"Several pain points remain, but we’re open to improvements."
75,"Simmons, Berry and Roberts",Technology,NE,SMB,2024-03-24,EDR,Pro,Direct,31,16,0.505,0.346,2,0,0,0.081,307.4,2024-04-01,2025-04-01,12,17,0,0,7,6,Happy with the service; adoption is growing.
76,"Herrera, Flores and Doyle",Government,West,SMB,2025-04-21,EmailSecurity,Pro,Direct,24,22,0.904,0.781,0,1,0,0.114,192.01,2025-06-24,2026-06-24,12,2,0,0,1,10,Support and product quality have been solid. Usage and adoption are strong across teams.
77,Lee-Hunter,Education,West,SMB,2025-04-20,SASE,Standard,Direct,23,6,0.259,0.826,4,0,0,0.08,317.19,2025-07-02,2026-07-02,12,2,0,1,55,7,"Several pain points remain, but we’re open to improvements. Pain points: low usage."
78,Martinez-Martin,Retail,NE,SMB,2023-11-27,DLP,Pro,Partner,14,9,0.638,0.746,6,0,0,0.193,140.55,2024-01-29,2025-01-28,12,19,0,0,1,7,Happy with the service; adoption is growing.
79,Watts Inc,Finance,NE,SMB,2025-03-02,SIEM,Standard,Direct,35,13,0.359,0.389,1,1,1,0.095,365.85,2025-03-05,2026-03-05,12,6,0,0,4,6,The product delivers value; planning to expand usage.
80,"Taylor, Reynolds and Lawson",Media,West,SMB,2024-12-26,MDR,Pro,Direct,19,5,0.237,0.78,1,1,0,0.126,501.67,2025-03-08,2026-03-08,12,6,0,0,1,7,Support and product quality have been solid.
81,"Murphy, Villanueva and Walsh",Retail,West,SMB,2025-03-07,EmailSecurity,Standard,Online,20,11,0.558,0.793,3,2,0,0.051,112.93,2025-05-03,2027-05-03,24,4,0,0,1,9,The product delivers value; planning to expand usage.
82,Ellison PLC,Technology,SE,Mid-Market,2025-03-29,EmailSecurity,Enterprise,Direct,379,238,0.627,0.544,4,0,0,0.159,3471.07,2025-04-21,2026-04-21,12,4,0,0,1,7,Happy with the service; adoption is growing.
83,Wallace-Wright,Energy,MW,Mid-Market,2025-09-14,EDR,Standard,Partner,153,92,0.6,0.649,2,1,0,0.215,1037.71,2025-08-20,2027-08-20,24,0,0,0,1,8,Support and product quality have been solid.
84,"Navarro, Williams and Roth",Healthcare,SW,Enterprise,2025-04-24,DLP,Enterprise,Partner,1328,596,0.449,0.884,2,0,0,0.224,16983.1,2025-05-23,2026-05-23,12,3,0,0,1,10,Great experience so far; features are meeting our needs.
85,"Duncan, Taylor and Lawson",Manufacturing,MW,SMB,2024-02-17,MDR,Standard,Direct,38,3,0.082,0.76,2,0,1,0.123,714.18,2024-03-16,2025-03-16,12,18,0,0,11,5,Support and product quality have been solid.
86,"Reyes, Gonzales and Collier",Manufacturing,SE,Mid-Market,2023-12-13,XDR,Enterprise,Direct,67,31,0.463,0.45,1,0,0,0.116,1859.76,2023-12-19,2024-12-18,12,6,0,0,1,7,Happy with the service; adoption is growing.
87,Le LLC,Finance,SE,SMB,2025-08-15,MDR,Pro,Partner,57,33,0.58,0.644,2,0,0,0.216,1510.9,2025-08-20,2026-08-20,12,0,0,0,1,8,The product delivers value; planning to expand usage.
88,Gilmore-Weber,Healthcare,SE,Mid-Market,2025-07-19,EDR,Enterprise,Partner,92,30,0.327,0.842,2,1,0,0.189,1128.13,2025-08-20,2026-08-20,12,0,0,0,1,8,Support and product quality have been solid.
89,"Ray, Huang and Thompson",Media,SW,SMB,2025-01-20,IAM,Standard,Direct,44,18,0.4,0.654,2,1,0,0.087,444.7,2025-03-17,2026-03-17,12,6,0,0,1,7,Happy with the service; adoption is growing.
90,Reese-Edwards,Government,SE,SMB,2025-02-09,WAF,Enterprise,Partner,63,22,0.348,0.569,1,0,0,0.183,997.51,2025-02-13,2026-02-13,12,7,0,0,1,6,Great experience so far; features are meeting our needs.
91,"Martinez, Higgins and House",Media,SW,Mid-Market,2024-03-13,SASE,Standard,Partner,107,13,0.118,0.613,1,0,0,0.185,1227.85,2024-05-09,2027-05-08,36,16,0,0,2,8,Happy with the service; adoption is growing.
92,"Gray, Young and Mckenzie",Retail,NE,SMB,2024-09-11,DLP,Pro,Partner,20,16,0.784,0.347,2,1,0,0.136,221.53,2024-10-10,2025-10-10,12,11,1,0,1,6,Great experience so far; features are meeting our needs.
93,West-Johnson,Technology,SW,SMB,2024-10-08,IAM,Standard,Direct,87,71,0.817,0.807,2,0,0,0.095,829.87,2024-12-17,2026-12-17,24,9,0,0,1,8,Support and product quality have been solid. Usage and adoption are strong across teams.
94,Wang-Snyder,Retail,West,SMB,2025-09-19,SOAR,Enterprise,Direct,32,6,0.183,0.25,4,1,1,0.065,1035.23,2025-08-20,2026-08-20,12,0,0,0,27,4,Happy with the service; adoption is growing.
95,Wells-Martin,Finance,SE,Mid-Market,2024-07-28,XDR,Standard,Direct,624,328,0.525,0.874,0,1,0,0.181,8371.1,2024-09-27,2025-09-27,12,11,1,0,1,8,The product delivers value; planning to expand usage.
96,Phillips Inc,Retail,SE,SMB,2024-01-15,MDR,Standard,Partner,109,17,0.152,0.618,2,0,0,0.163,2108.39,2024-03-16,2026-03-16,24,12,0,0,1,6,Great experience so far; features are meeting our needs.
97,Crane and Sons,Energy,MW,Mid-Market,2024-07-02,SIEM,Standard,Direct,260,95,0.366,0.268,2,0,0,0.126,2740.51,2024-08-01,2026-08-01,24,13,0,0,1,6,Support and product quality have been solid.
98,Gomez-Thompson,Telecom,West,SMB,2024-11-18,SIEM,Standard,Direct,52,31,0.605,0.598,1,1,0,0.137,524.6,2024-12-25,2025-12-25,12,8,0,0,1,8,Support and product quality have been solid.
99,"Chambers, Castro and Robinson",Finance,NE,Mid-Market,2025-02-17,EDR,Standard,Direct,116,85,0.73,0.347,3,0,0,0.165,795.22,2025-04-25,2026-04-25,12,4,0,0,1,7,Support and product quality have been solid.
100,"Waters, Owen and Willis",Telecom,MW,SMB,2025-09-03,IAM,Standard,Online,28,20,0.698,0.494,2,0,0,0.059,284.82,2025-08-20,2027-08-20,24,0,0,0,3,6,Support and product quality have been solid.
101,"Reyes, Edwards and Lang",Energy,NE,Mid-Market,2023-10-17,MDR,Pro,Partner,93,50,0.534,0.623,0,1,0,0.253,2095.94,2023-10-28,2025-10-27,24,12,0,0,1,8,Happy with the service; adoption is growing.
102,Mercado-Howard,Finance,NE,Enterprise,2025-06-13,SOAR,Pro,Direct,865,163,0.189,0.356,3,2,0,0.197,16989.79,2025-08-20,2027-08-20,24,0,0,0,1,7,Support and product quality have been solid.
103,Bennett-Johnson,Media,SW,SMB,2025-01-06,EmailSecurity,Standard,Direct,65,19,0.297,0.722,3,0,0,0.166,342.61,2025-01-13,2026-01-13,12,8,0,1,50,7,"Mixed experience so far; some teams see value, others struggle. Pain points: low usage."
104,Perkins Inc,Finance,SE,Mid-Market,2024-06-30,IAM,Standard,Partner,272,157,0.577,0.961,1,1,1,0.184,2636.79,2024-07-01,2025-07-01,12,12,0,1,34,9,The product delivers value; planning to expand usage.
105,Martinez Group,Retail,SE,Enterprise,2024-01-20,SOAR,Standard,Partner,4122,1681,0.408,0.112,4,1,0,0.238,55814.93,2024-03-06,2025-03-06,12,12,0,0,2,6,Happy with the service; adoption is growing.
106,Schmidt-Bennett,Technology,West,Enterprise,2024-04-23,IAM,Pro,Partner,1786,840,0.47,0.585,3,1,0,0.176,22737.21,2024-06-28,2025-06-28,12,14,0,0,1,9,Happy with the service; adoption is growing.
107,Burke and Sons,Technology,SE,SMB,2024-04-27,IAM,Pro,Partner,42,25,0.593,0.801,3,0,0,0.135,604.17,2024-06-14,2025-06-14,12,12,0,0,1,8,Support and product quality have been solid.
108,Grant Ltd,Finance,MW,SMB,2024-07-03,EDR,Standard,Direct,37,13,0.346,0.96,4,0,1,0.081,288.35,2024-07-06,2025-07-06,12,12,0,0,1,8,The product delivers value; planning to expand usage.
109,Burns-Marquez,Education,West,SMB,2023-11-06,MDR,Standard,Direct,39,24,0.619,0.442,3,0,0,0.118,728.89,2023-11-27,2024-11-26,12,18,0,0,1,7,The product delivers value; planning to expand usage.
110,"Smith, Williamson and Carter",Healthcare,SW,Mid-Market,2024-04-11,XDR,Pro,Online,111,48,0.429,0.598,2,1,0,0.068,2208.7,2024-05-05,2025-05-05,12,16,0,0,7,9,Happy with the service; adoption is growing.
111,"Velasquez, Ramirez and Gomez",Government,SW,Mid-Market,2024-01-16,EmailSecurity,Pro,Direct,547,274,0.501,0.329,2,0,0,0.165,3781.85,2024-02-29,2026-02-28,24,12,0,0,6,7,The product delivers value; planning to expand usage.
112,Pope Inc,Manufacturing,West,Mid-Market,2025-04-11,WAF,Standard,Direct,159,112,0.703,0.926,2,0,0,0.133,1411.61,2025-05-16,2026-05-16,12,4,0,0,1,10,Happy with the service; adoption is growing. Usage and adoption are strong across teams.
113,Spencer Ltd,Media,MW,Mid-Market,2024-08-10,SIEM,Standard,Direct,123,67,0.547,0.716,0,0,1,0.12,1349.75,2024-08-28,2025-08-28,12,12,1,0,1,9,Great experience so far; features are meeting our needs.
114,Watkins-Garcia,Government,SE,Mid-Market,2024-04-20,SOAR,Pro,Direct,158,108,0.685,0.477,1,0,0,0.139,3681.19,2024-06-08,2025-06-08,12,15,0,0,1,8,Happy with the service; adoption is growing.
115,Pearson Group,Media,SE,Enterprise,2024-11-17,EmailSecurity,Pro,Direct,1137,317,0.279,0.444,2,0,0,0.139,8301.56,2025-01-02,2026-01-02,12,8,0,0,1,7,Great experience so far; features are meeting our needs.
116,"Perez, Lopez and Watson",Education,MW,SMB,2023-10-14,SASE,Pro,Partner,94,75,0.799,0.476,3,1,1,0.196,1594.65,2023-11-24,2025-11-23,24,12,0,0,1,7,Support and product quality have been solid.
117,Nguyen-Nelson,Finance,SW,SMB,2024-12-14,MDR,Standard,Direct,71,43,0.603,0.437,1,1,0,0.145,1460.56,2025-01-14,2027-01-14,24,8,0,0,1,6,The product delivers value; planning to expand usage.
118,King-Lawrence,Retail,SE,Mid-Market,2025-03-01,EDR,Standard,Direct,64,28,0.443,0.651,1,0,0,0.109,437.94,2025-05-04,2026-05-04,12,4,0,0,1,6,Great experience so far; features are meeting our needs.
